Assigned, Month, TicketsOpened
LQ DSL,Jan-14,1385.0
LQ DSL,Feb-14,1471.0
LQ DSL,Mar-14,1592.0
LQ DSL,Apr-14,1906.0
LQ DSL,May-14,2153.0
LQ DSL,Jun-14,2560.0
LQ DSL,Jul-14,2802.0
LQ DSL,Aug-14,2426.0
LQ DSL,Sep-14,2207.0
LQ DSL,Oct-14,2101.0
LQ DSL,Nov-14,1671.0
LQ DSL,Dec-14,1732.0
LQ DSL,Jan-15,2866.0
LQ DSL,Feb-15,2386.0
LQ DSL,Mar-15,2713.0
LQ DSL,Apr-15,2350.0
LQ DSL,May-15,2731.0
LQ DSL,Jun-15,3050.0
LQ DSL,Jul-15,3232.0
LQ DSL,Aug-15,4864.0
LQ DSL,Sep-15,3513.0
LQ DSL,Oct-15,2084.0
LQ DSL,Nov-15,2470.0
LQ DSL,Dec-15,2047.0
LQ DSL,Jan-16,2257.0
LQ DSL,Feb-16,2271.0
LQ DSL,Mar-16,2491.0
LQ DSL,Apr-16,2690.0
LQ DSL,May-16,2918.0
LQ DSL,Jun-16,2766.0
LQ DSL,Jul-16,2415.0
LQ DSL,Aug-16,1779.0
LQ DSL,Sep-16,1492.0
LQ DSL,Oct-16,1318.0
LQ DSL,Nov-16,942.0
LQ DSL,Dec-16,1155.0
LQ DSL,Jan-17,1088.0
LQ DSL,Feb-17,1032.0
LQ DSL,Mar-17,1275.0
LQ DSL,Apr-17,1523.0
LQ ETH,Jan-14,3978.0
LQ ETH,Feb-14,3498.0
LQ ETH,Mar-14,3702.0
LQ ETH,Apr-14,3944.0
LQ ETH,May-14,3828.0
LQ ETH,Jun-14,7153.0
LQ ETH,Jul-14,7580.0
LQ ETH,Aug-14,4420.0
LQ ETH,Sep-14,4725.0
LQ ETH,Oct-14,4933.0
LQ ETH,Nov-14,3953.0
LQ ETH,Dec-14,3807.0
LQ ETH,Jan-15,4351.0
LQ ETH,Feb-15,2583.0
LQ ETH,Mar-15,4078.0
LQ ETH,Apr-15,5451.0
LQ ETH,May-15,7027.0
LQ ETH,Jun-15,7080.0
LQ ETH,Jul-15,6456.0
LQ ETH,Aug-15,10500.0
LQ ETH,Sep-15,9183.0
LQ ETH,Oct-15,9073.0
LQ ETH,Nov-15,9435.0
LQ ETH,Dec-15,11716.0
LQ ETH,Jan-16,12596.0
LQ ETH,Feb-16,8870.0
LQ ETH,Mar-16,17274.0
LQ ETH,Apr-16,11228.0
LQ ETH,May-16,12996.0
LQ ETH,Jun-16,8523.0
LQ ETH,Jul-16,7930.0
LQ ETH,Aug-16,9276.0
LQ ETH,Sep-16,7252.0
LQ ETH,Oct-16,9369.0
LQ ETH,Nov-16,23851.0
LQ ETH,Dec-16,10967.0
LQ ETH,Jan-17,8683.0
LQ ETH,Feb-17,11930.0
LQ ETH,Mar-17,6588.0
LQ ETH,Apr-17,7048.0
LC DSL,Apr-17,11008.0
LC DSL,Apr-17,9050.0
LC DSL,Apr-17,8586.0
LC DSL,Apr-17,7696.0
LC DSL,Apr-17,7717.0
LC DSL,Apr-17,7796.0
LC DSL,Apr-17,8236.0
LC DSL,Apr-17,7734.0
LC DSL,Apr-17,7087.0
LC DSL,Apr-17,6794.0
LC DSL,Apr-17,6724.0
LC DSL,Apr-17,6486.0
LC DSL,Apr-17,6484.0
LC DSL,Apr-17,6756.0
LC DSL,Apr-17,6962.0
LC DSL,Apr-17,7999.0
LC DSL,Apr-17,8443.0
LC DSL,Apr-17,8187.0
LC DSL,Apr-17,7237.0
LC DSL,Apr-17,6546.0
LC DSL,Apr-17,6075.0
LC DSL,Apr-17,5902.0
LC DSL,Apr-17,5448.0
LC DSL,Apr-17,5577.0
LC DSL,Apr-17,5263.0
LC DSL,Apr-17,4521.0
LC DSL,Apr-17,5049.0
LC DSL,Apr-17,4711.0
LC DSL,Apr-17,5178.0
LC DSL,Apr-17,5530.0
LC DSL,Apr-17,7767.0
LC DSL,Apr-17,6253.0
LC DSL,Apr-17,5590.0
LC DSL,Apr-17,5639.0
LC DSL,Apr-17,4777.0
LC DSL,Apr-17,5064.0
LC DSL,Apr-17,4982.0
LC DSL,Apr-17,4289.0
LC DSL,Apr-17,4874.0
LC DSL,Apr-17,4520.0
LC ETH,Jan-14,667.0
LC ETH,Feb-14,628.0
LC ETH,Mar-14,612.0
LC ETH,Apr-14,582.0
LC ETH,May-14,1058.0
LC ETH,Jun-14,583.0
LC ETH,Jul-14,676.0
LC ETH,Aug-14,824.0
LC ETH,Sep-14,793.0
LC ETH,Oct-14,814.0
LC ETH,Nov-14,984.0
LC ETH,Dec-14,691.0
LC ETH,Jan-15,564.0
LC ETH,Feb-15,793.0
LC ETH,Mar-15,713.0
LC ETH,Apr-15,726.0
LC ETH,May-15,803.0
LC ETH,Jun-15,644.0
LC ETH,Jul-15,925.0
LC ETH,Aug-15,648.0
LC ETH,Sep-15,707.0
LC ETH,Oct-15,565.0
LC ETH,Nov-15,390.0
LC ETH,Dec-15,472.0
LC ETH,Jan-16,678.0
LC ETH,Feb-16,824.0
LC ETH,Mar-16,1181.0
LC ETH,Apr-16,1001.0
LC ETH,May-16,716.0
LC ETH,Jun-16,776.0
LC ETH,Jul-16,704.0
LC ETH,Aug-16,741.0
LC ETH,Sep-16,639.0
LC ETH,Oct-16,730.0
LC ETH,Nov-16,768.0
LC ETH,Dec-16,886.0
LC ETH,Jan-17,1128.0
LC ETH,Feb-17,956.0
LC ETH,Mar-17,1053.0
LC ETH,Apr-17,892.0
